idx,text,label
0,What a great day!!! Looks like dream.,"Positive User Experience  
"
1,"I feel sorry, I miss you here in the sea beach","Emotional Connection To Place  
"
2,Don't angry me,"Emotional Response To Situation  
"
3,We attend in the class just for listening teachers reading on slide. Just Nonsence  ,"Classroom Learning Experience   
"
4,"Those who want to go, let them go","Individual Choice Expression  
"
5,"Its night 2 am, feeling neutral","Sleep And Mood  
"
6,2 am feedings for the baby are fun when he is all smiles and coos,"Positive Baby Interactions  
"
7,Soooo high,"Emotional Response To Product  
"
8, Both of you,"Participant Interaction Dynamics   
"
9,Today first time I arrive in the boat. Its amazing journey,"Boat Travel Experience  
"
10,Love is something like E=MC^2 rules,"Conceptual Metaphor Usage  
"
11,I really really like the song Cardigan by Taylor Swift,"Musical Preference Expression  
"
12,My Sharpie is running DANGERously low on ink,"Ink Supply Depletion  
"
13,i want to go to music tonight but i lost my voice.,"Vocal Impairment Impact  
"
14,Always somewhere I miss you where I have been,"Emotional Absence  
"
15,Don't distrube me,"User Request For Privacy  
"
16,"I don't care, who are you and what can you do","User Disinterest  
"
17,i`ve been sick for the past few days ,"Recent Illness Experience  
"
18,"I'm come back home, my past job, its really good time for me","Positive Past Employment  
"
19,I will never fall in love until I found you,"Romantic Feelings Expression  
"
20," oh Maya, I`m so sorry!!  I hope you find her soon!! ","Concern For Missing Person 
"
21,"Playing with kids, its amazing","Play Experiences With Children  
"
22,is cleaning the house for her family who is comming later today..,"Household Preparation  
"
23,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,"User Interface Frustration  
"
24,"Follow me, I will follow you too","Social Reciprocity  
"
25,"Its amazing game, I playing everyday","Daily Gameplay Engagement  
"
26,  I`m sorry.,"Expression Of Regret  
"
27,"I'm in the village now and there hardly found internate, feeling gloomy","Village Internet Access  
"
28,juss came back from Barisal,"Travel Destination Preference  
"
29,Went to sleep and there is a power cut in the village. ,"Power Outage Experience  
"
30,How looks like our company new logo?,"Logo Perception  
"
31,"I buy Sophie's world book, I'm really so happy","Customer Satisfaction With Book  
"
32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,"Body Mass Index Perception 
"
33, That`s very funny.  Cute kids.,"Positive Child Reactions   
"
34," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Sports Team Preference 
"
35,My semester final exam is complete. Hurray!!!,"Academic Achievement  
"
36,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,"Urban Nostalgia Experiences   
"
37,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","Content Creation Volume  
"
38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,"Exhaustion After School  
"
39, romance zero is funny,"Humor Perception Romance Zero   
"
40," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Vehicle Damage Concerns 
"
41,Yor are so unromantic,"Relationship Dynamics  
"
